date,label,nb_visits,entry_nb_visits,exit_nb_visits
NA,fr/reuses/trouve-une-boite/index,807,784,527
NA,api/1/discussions/?for=53699d0ea3a729239d205b2e,796,0,8
NA,fr/users/ - Autres,793,357,371
NA,api/1/spatial/zones/fr/town/75056,790,0,0
NA,fr/datasets/service-public-fr-annuaire-de-l-administration-base-de-donnees-locales/index,775,365,278
NA,fr/datasets/?page=3,764,15,72
NA,fr/datasets/adresse-et-geolocalisation-des-etablissements-denseignement-du-premier-et-second-degres/index,763,350,250
NA,api/1/discussions/?for=53ca2be2a3a7294a1ddd7847,761,0,6
NA,"api/1/spatial/zones/country/fr,country-subset/fr/domtom",745,11,2
NA,fr/datasets/produits-alimentaires-ingredients-nutrition-labels/index,743,271,228
NA,api/1/spatial/zones/fr/town/34172,728,1,1
NA,api/1/discussions/?for=54149eb5c751df1dc8fc95e3,723,0,4
NA,api/1/discussions/?for=5369995ba3a729239d205221,719,1,6
NA,api/1/discussions/?for=55af672dc751df02d110ccb7,717,0,6
NA,fr/datasets/fond-de-carte-des-codes-postaux/index,717,629,378
NA,fr/posts/liste-publique-des-organismes-de-formation/index,710,536,198
NA,fr/search/?q=,700,48,116
NA,api/1/swagger.json,699,22,13
NA,fr/datasets/modele-de-contrat-de-cdd-contrat-de-travail-a-duree-determinee-cadre/index,699,693,319
NA,fr/topics/international-et-europe/index,699,32,113
NA,fr/datasets/liste-et-localisation-des-musees-de-france/index,690,440,255
NA,api/1/discussions/?for=5378a115a3a7295dd332da00,679,1,3
NA,register/index,672,8,61
NA,api/1/site/ - Autres,661,2,1
NA,api/1/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/index,646,11,13
NA,api/1/discussions/?for=586a824588ee3835ec3f4e61,642,0,6
NA,login/index,642,28,188
NA,fr/datasets/geofla-r/index,640,228,177
NA,fr/datasets/la-taille-des-colleges-et-lycees/index,635,621,351
NA,fr/topics/sante-et-social/datasets,633,22,74
NA,fr/datasets/indicateurs-de-resultat-des-lycees-denseignement-general-et-technologique/index,628,468,316
NA,api/1/discussions/?for=5369a15fa3a729239d2065b7,627,0,3
NA,api/1/spatial/zone/fr/county/ - Autres,612,0,0
NA,api/1/discussions/?for=53699569a3a729239d2046eb,611,1,3
NA,api/1/spatial/zones/country/ - Autres,609,0,1
NA,api/1/me/reuses/ - Autres,608,0,2
NA,api/1/discussions/?for=5530fbacc751df5ff937dddb,607,2,5
NA,"api/1/spatial/zones/fr/county/973,fr/county/974,country-subset/fr/metro,fr/county/972,fr/county/971,fr/county/976",606,3,0
NA,fr/datasets/police-municipale-effectifs-par-commune/index,597,537,319
NA,api/1/discussions/?for=536ccacea3a72938e9a8ea5c,592,0,3
NA,api/1/discussions/?for=53698f4ca3a729239d2036df,592,0,0
NA,api/1/discussions/?for=578744be88ee3804a15ec900,586,1,1
NA,api/1/discussions/?for=53699580a3a729239d204738,576,0,2
NA,api/1/discussions/?for=5489cda0c751df35a24120e7,572,0,2
