date,nb_uniq_visitors,nb_users,nb_visits,nb_actions,nb_visits_converted,bounce_count,sum_visit_length,max_actions,bounce_rate,nb_actions_per_visit,avg_time_on_site
2016-12-30,94,0,112,370,10,46,29958,24,41,3.3,267
2016-12-31,40,0,43,113,4,25,3789,12,58,2.6,88
2017-01-01,29,0,31,102,3,17,4461,22,55,3.3,144
2017-01-02,165,0,188,638,22,79,30998,19,42,3.4,165
2017-01-03,221,0,258,967,41,99,62291,24,38,3.7,241
2017-01-04,257,0,291,1032,36,104,67175,25,36,3.5,231
2017-01-05,261,0,296,959,42,124,42146,47,42,3.2,142
2017-01-06,213,0,238,934,39,86,52780,43,36,3.9,222
2017-01-07,71,0,72,166,11,39,4454,12,54,2.3,62
2017-01-08,49,0,53,204,4,23,7893,33,43,3.8,149
2017-01-09,246,0,294,1005,41,108,65738,21,37,3.4,224
2017-01-10,220,0,276,1115,51,96,90897,35,35,4,329
2017-01-11,231,0,268,1120,39,98,75479,31,37,4.2,282
2017-01-12,247,0,294,1118,42,116,77460,39,39,3.8,263
2017-01-13,206,0,249,862,33,96,62527,33,39,3.5,251
2017-01-14,53,0,60,218,11,22,11821,28,37,3.6,197
2017-01-15,65,0,76,325,15,22,15400,30,29,4.3,203
2017-01-16,246,0,300,1210,49,103,96094,43,34,4,320
2017-01-17,246,0,287,1151,48,108,80604,40,38,4,281
2017-01-18,242,0,283,994,49,106,47514,33,37,3.5,168
2017-01-19,219,0,268,1065,33,104,83766,58,39,4,313
2017-01-20,266,0,309,1097,54,127,74339,37,41,3.6,241
2017-01-21,64,0,73,258,12,34,14674,19,47,3.5,201
2017-01-22,63,0,69,220,7,35,9816,17,51,3.2,142
2017-01-23,233,0,272,1039,37,97,71779,28,36,3.8,264
2017-01-24,238,0,285,914,40,116,45075,18,41,3.2,158
2017-01-25,233,0,292,1152,41,101,89914,25,35,3.9,308
2017-01-26,227,0,265,1042,27,93,57915,38,35,3.9,219
2017-01-27,233,0,276,969,32,111,68704,27,40,3.5,249
2017-01-28,54,0,68,199,6,28,13250,17,41,2.9,195
2017-01-29,54,0,57,223,8,29,9788,53,51,3.9,172
2017-01-30,258,0,313,1051,38,124,78011,36,40,3.4,249
2017-01-31,242,0,287,1055,34,103,67442,29,36,3.7,235
2017-02-01,229,0,259,1006,41,107,60464,28,41,3.9,233
2017-02-02,273,0,325,1148,33,129,69598,43,40,3.5,214
2017-02-03,205,0,241,970,38,80,72912,49,33,4,303
2017-02-04,45,0,51,151,3,29,6395,21,57,3,125
2017-02-05,44,0,49,161,6,29,6953,24,59,3.3,142
2017-02-06,232,0,270,894,34,112,50963,21,41,3.3,189
2017-02-07,313,0,378,1698,50,144,105045,35,38,4.5,278
2017-02-08,231,0,270,956,27,106,54056,35,39,3.5,200
2017-02-09,274,0,326,1192,40,123,67323,31,38,3.7,207
2017-02-10,193,0,219,886,22,84,46376,41,38,4,212
2017-02-11,44,0,55,192,7,22,13575,16,40,3.5,247
2017-02-12,59,0,69,263,11,29,13007,30,42,3.8,189
2017-02-13,246,0,287,1130,51,106,76713,36,37,3.9,267
2017-02-14,229,0,273,976,35,111,60972,29,41,3.6,223
2017-02-15,228,0,272,1067,37,110,63739,36,40,3.9,234
2017-02-16,224,0,278,1022,45,104,75902,44,37,3.7,273
2017-02-17,189,0,225,890,33,83,63999,27,37,4,284
2017-02-18,50,0,53,202,6,20,16027,24,38,3.8,302
2017-02-19,43,0,47,119,6,27,4002,10,57,2.5,85
2017-02-20,218,0,257,849,33,114,57571,24,44,3.3,224
2017-02-21,249,0,297,1139,40,123,79743,35,41,3.8,268
2017-02-22,257,0,299,1098,32,125,78180,39,42,3.7,261
2017-02-23,284,0,343,1146,40,159,69943,45,46,3.3,204
2017-02-24,204,0,244,1062,29,91,72461,82,37,4.4,297
2017-02-25,62,0,66,195,7,27,8887,10,41,3,135
2017-02-26,42,0,47,143,2,26,11467,25,55,3,244
2017-02-27,235,0,272,911,28,114,46451,31,42,3.3,171
2017-02-28,284,0,340,1171,38,144,65815,30,42,3.4,194
2017-03-01,270,0,318,1002,31,137,55356,26,43,3.2,174
2017-03-02,247,0,295,1104,35,100,76888,36,34,3.7,261
2017-03-03,223,0,249,877,24,110,53123,29,44,3.5,213
2017-03-04,77,0,90,300,13,40,19511,41,44,3.3,217
2017-03-05,70,0,77,210,5,39,8242,16,51,2.7,107
2017-03-06,244,0,300,1089,41,108,78793,47,36,3.6,263
2017-03-07,251,0,293,1100,41,123,89827,24,42,3.8,307
2017-03-08,227,0,270,984,28,123,62125,35,46,3.6,230
2017-03-09,261,0,305,1006,39,125,62707,27,41,3.3,206
2017-03-10,196,0,232,835,22,101,52887,45,44,3.6,228
2017-03-11,66,0,73,231,9,37,8490,19,51,3.2,116
2017-03-12,64,0,71,278,10,31,8444,27,44,3.9,119
2017-03-13,272,0,321,1110,31,130,66430,39,40,3.5,207
2017-03-14,257,0,310,922,23,153,62157,26,49,3,201
2017-03-15,273,0,328,1205,35,138,70546,35,42,3.7,215
2017-03-16,244,0,286,926,32,111,52857,39,39,3.2,185
2017-03-17,260,0,305,1153,56,115,83838,31,38,3.8,275
2017-03-18,78,0,86,409,10,42,25959,106,49,4.8,302
2017-03-19,65,0,71,235,5,32,14807,19,45,3.3,209
2017-03-20,280,0,331,1214,38,125,65616,27,38,3.7,198
2017-03-21,285,0,335,1262,51,138,100018,66,41,3.8,299
2017-03-22,283,0,328,1117,41,133,72204,25,41,3.4,220
2017-03-23,305,0,360,1428,36,150,91125,73,42,4,253
2017-03-24,261,0,299,1114,34,119,62019,59,40,3.7,207
2017-03-25,73,0,86,297,15,35,18044,19,41,3.5,210
2017-03-26,59,0,62,136,7,40,6015,8,65,2.2,97
2017-03-27,281,0,341,1337,42,128,100823,53,38,3.9,296
2017-03-28,288,0,343,1287,39,154,80213,40,45,3.8,234
2017-03-29,168,0,195,601,15,85,31757,24,44,3.1,163
